company_id,available_years
ABB,12
ADANIENSOL,11
ADANIENT,12
ADANIGREEN,8
ADANIPORTS,12
ADANIPOWER,12
AGTL,7
AMBUJACEM,12
APOLLOHOSP,12
ASIANPAINT,12
AXISBANK,12
BAJAJ-AUTO,12
BAJAJFINSV,12
BAJAJHLDNG,12
BAJFINANCE,10
BANKBARODA,12
BEL,12
BHARTIARTL,12
BHEL,12
BOSCHLTD,12
BPCL,12
BRITANNIA,12
CANBK,12
CHOLAFIN,12
CIPLA,12
COALINDIA,12
DABUR,12
DIVISLAB,12
DLF,12
DMART,12
DRREDDY,12
EICHERMOT,12
GAIL,12
GODREJCP,12
GRASIM,12
HAL,8
HAVELLS,12
HCLTECH,12
HDFCBANK,12
HDFCLIFE,12
HEROMOTOCO,11
HINDALCO,12
HINDUNILVR,12
ICICIBANK,12
ICICIGI,12
ICICIPRULI,12
INDIGO,12
INDUSINDBK,12
INFY,12
IOC,12
IRCTC,10
IRFC,9
ITC,12
JINDALSTEL,12
JIOFIN,2
JSWENERGY,12
JSWSTEEL,12
KOTAKBANK,12
LICI,6
LODHA,9
LT,12
LTIM,12
M&M,12
MARUTI,12
MOTHERSON,12
NAUKRI,12
NESTLEIND,12
NHPC,12
NTPC,12
ONGC,12
PFC,12
PIDILITIND,12
PNB,12
POWERGRID,12
RECLTD,12
RELIANCE,12
SBILIFE,12
SBIN,12
SHREECEM,12
SHRIRAMFIN,12
SIEMENS,12
SUNPHARMA,12
TATACONSUM,12
TATAMOTORS,12
TATAPOWER,12
TATASTEEL,12
TCS,24
TECHM,12
TITAN,12
TORNTPHARM,12
TRENT,12
TVSMOTOR,12
ULTRACEMCO,12
UNIONBANK,12
UNITDSPR,12
VBL,12
VEDL,12
WIPRO,12
ZOMATO,5
ZYDUSLIFE,12
