company_id,cluster_id,cluster_name,distance_from_centroid
SIEMENS,3,Distressed / Turnaround,0.1565
ABB,0,High Quality Compounders,0.0679
ADANIENSOL,0,High Quality Compounders,0.2286
ADANIENT,3,Distressed / Turnaround,0.1424
ADANIGREEN,2,Value Cyclicals,0.1096
ADANIPORTS,2,Value Cyclicals,0.4388
ADANIPOWER,4,Emerging Growth,0.0393
AMBUJACEM,0,High Quality Compounders,0.2208
APOLLOHOSP,3,Distressed / Turnaround,0.1361
ASIANPAINT,0,High Quality Compounders,0.1666
ATGL,0,High Quality Compounders,0.0081
AXISBANK,4,Emerging Growth,0.092
BAJAJ-AUTO,0,High Quality Compounders,0.1844
BAJAJFINSV,4,Emerging Growth,0.1261
BAJAJHLDNG,1,Defensive Dividend Payers,0.1015
BAJFINANCE,0,High Quality Compounders,0.2505
BANKBARODA,4,Emerging Growth,0.0742
BEL,0,High Quality Compounders,0.1035
BHARTIARTL,4,Emerging Growth,0.4642
BHEL,3,Distressed / Turnaround,0.2108
BOSCHLTD,3,Distressed / Turnaround,0.1179
BPCL,3,Distressed / Turnaround,0.1403
BRITANNIA,0,High Quality Compounders,0.2034
CANBK,4,Emerging Growth,0.0301
CHOLAFIN,0,High Quality Compounders,0.1855
CIPLA,2,Value Cyclicals,0.0825
COALINDIA,2,Value Cyclicals,0.2002
DABUR,0,High Quality Compounders,0.1804
DIVISLAB,0,High Quality Compounders,0.2237
DLF,0,High Quality Compounders,0.1206
DMART,3,Distressed / Turnaround,0.0713
DRREDDY,0,High Quality Compounders,0.1091
EICHERMOT,0,High Quality Compounders,0.0927
GAIL,3,Distressed / Turnaround,0.096
GODREJCP,0,High Quality Compounders,0.0928
GRASIM,0,High Quality Compounders,0.134
HAL,4,Emerging Growth,0.2772
HAVELLS,3,Distressed / Turnaround,0.0012
HCLTECH,0,High Quality Compounders,0.0694
HDFCBANK,2,Value Cyclicals,0.355
HDFCLIFE,1,Defensive Dividend Payers,0.2551
HEROMOTOCO,1,Defensive Dividend Payers,0.2329
HINDALCO,1,Defensive Dividend Payers,0.1809
HINDUNILVR,2,Value Cyclicals,0.1586
ICICIBANK,2,Value Cyclicals,0.0945
ICICIGI,1,Defensive Dividend Payers,0.2537
ICICIPRULI,1,Defensive Dividend Payers,0.2666
INDIGO,2,Value Cyclicals,0.2606
INDUSINDBK,4,Emerging Growth,0.0598
INFY,0,High Quality Compounders,0.0063
IOC,3,Distressed / Turnaround,0.2012
IRCTC,4,Emerging Growth,0.2093
IRFC,1,Defensive Dividend Payers,0.2618
ITC,4,Emerging Growth,0.1469
JINDALSTEL,0,High Quality Compounders,0.1121
JIOFIN,2,Value Cyclicals,0.2083
JSWENERGY,4,Emerging Growth,0.2865
JSWSTEEL,3,Distressed / Turnaround,0.1283
KOTAKBANK,2,Value Cyclicals,0.2688
LICI,3,Distressed / Turnaround,0.2546
LODHA,0,High Quality Compounders,0.1636
LT,3,Distressed / Turnaround,0.1172
LTIM,0,High Quality Compounders,0.2353
M&M,0,High Quality Compounders,0.1863
MARUTI,3,Distressed / Turnaround,0.1435
MOTHERSON,3,Distressed / Turnaround,0.006
NAUKRI,0,High Quality Compounders,0.1684
NESTLEIND,0,High Quality Compounders,0.0081
NHPC,4,Emerging Growth,0.4576
NTPC,0,High Quality Compounders,0.1673
ONGC,3,Distressed / Turnaround,0.1224
PFC,4,Emerging Growth,0.1106
PIDILITIND,0,High Quality Compounders,0.0293
PNB,4,Emerging Growth,0.0449
POWERGRID,1,Defensive Dividend Payers,0.2511
RECLTD,1,Defensive Dividend Payers,0.2365
RELIANCE,0,High Quality Compounders,0.2305
SBILIFE,3,Distressed / Turnaround,0.3329
SBIN,3,Distressed / Turnaround,0.8291
SHREECEM,0,High Quality Compounders,0.0865
SHRIRAMFIN,0,High Quality Compounders,0.1844
SUNPHARMA,0,High Quality Compounders,0.1588
TATACONSUM,3,Distressed / Turnaround,0.207
TATAMOTORS,3,Distressed / Turnaround,0.1487
TATAPOWER,0,High Quality Compounders,0.2319
TATASTEEL,3,Distressed / Turnaround,0.0634
TCS,0,High Quality Compounders,0.1165
TECHM,3,Distressed / Turnaround,0.0786
TITAN,3,Distressed / Turnaround,0.0045
TORNTPHARM,4,Emerging Growth,0.2675
TRENT,3,Distressed / Turnaround,0.22
TVSMOTOR,3,Distressed / Turnaround,0.174
