,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,operating_profit_margin_pct,net_profit_margin_pct,revenue_cagr_5yr,fcf_cagr_5yr
return_on_equity_pct,,,,,,,,,,
return_on_capital_employed_pct,,,,,,,,,,
return_on_assets_pct,,,,,,,,,,
debt_to_equity,,,,,,,,,,
interest_coverage,,,,,1.0,,0.10391059469053382,0.8448731684412922,,
asset_turnover,,,,,,,,,,
operating_profit_margin_pct,,,,,0.10391059469053382,,1.0,0.3061161928603474,,
net_profit_margin_pct,,,,,0.8448731684412922,,0.3061161928603474,1.0,,
revenue_cagr_5yr,,,,,,,,,,
fcf_cagr_5yr,,,,,,,,,,
