metric,count,minimum,P10,P25,P50,P75,P90,maximum,mean,std
asset_turnover,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,
cash_from_operations_cr,1,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,
composite_quality_score,92,20.0,25.0,30.0,30.0,35.0,40.0,85.0,32.83,7.75
debt_to_equity,92,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0
eps_cagr_5yr,1,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,
fcf_cagr_5yr,92,53.29,53.29,53.29,53.29,53.29,53.29,53.29,53.29,0.0
fcf_conversion_rate,1,37.63,37.63,37.63,37.63,37.63,37.63,37.63,37.63,
free_cash_flow_cr,1,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,1168.0,
interest_coverage,88,-1662.67,1.59,3.2,9.3,52.69,155.01,3804.5,92.22,472.33
net_profit_margin_pct,92,-3.2,3.15,7.12,13.57,21.21,28.67,431.97,19.89,45.08
operating_profit_margin_pct,92,-12.6,9.88,15.1,26.54,40.73,79.4,99.59,34.45,27.1
pat_cagr_5yr,1,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,
return_on_assets_pct,1,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,
return_on_capital_employed_pct,1,25.77,25.77,25.77,25.77,25.77,25.77,25.77,25.77,
return_on_equity_pct,92,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,0.0
revenue_cagr_5yr,92,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,0.0
