company_id,status,file
ABB,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ABB_tearsheet.pdf
ADANIENSOL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ADANIENSOL_tearsheet.pdf
ADANIENT,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ADANIENT_tearsheet.pdf
ADANIGREEN,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ADANIGREEN_tearsheet.pdf
ADANIPORTS,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ADANIPORTS_tearsheet.pdf
ADANIPOWER,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ADANIPOWER_tearsheet.pdf
AMBUJACEM,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\AMBUJACEM_tearsheet.pdf
APOLLOHOSP,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\APOLLOHOSP_tearsheet.pdf
ASIANPAINT,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ASIANPAINT_tearsheet.pdf
ATGL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ATGL_tearsheet.pdf
AXISBANK,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\AXISBANK_tearsheet.pdf
BAJAJ-AUTO,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BAJAJ-AUTO_tearsheet.pdf
BAJAJFINSV,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BAJAJFINSV_tearsheet.pdf
BAJAJHLDNG,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BAJAJHLDNG_tearsheet.pdf
BAJFINANCE,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BAJFINANCE_tearsheet.pdf
BANKBARODA,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BANKBARODA_tearsheet.pdf
BEL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BEL_tearsheet.pdf
BHARTIARTL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BHARTIARTL_tearsheet.pdf
BHEL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BHEL_tearsheet.pdf
BOSCHLTD,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\BOSCHLTD_tearsheet.pdf
